charges,krs,uorCode
Att Theft by Unlawful Taking/Disp - All others,514030,232901
Solc Theft by Unlawful Taking/Disp - All others,514030,232902
Cons Theft by Unlawful Taking/Disp - All others,514030,232903
Facl Theft by Unlawful Taking/Disp - All others,514030,232904
Comp Theft by Unlawful Taking/Disp - All others,514030,232905
"TBUT - All others $10,000 or more",514030,232950
"Att TBUT - All others $10,000 or more",514030,232951
"Solc TBUT - All others  $10,000 or more",514030,232952
"Cons TBUT - All others $10,000 or more",514030,232953
"Facl TBUT - All others $10,000 or more",514030,232954
"Comp TBUT - All others $10,000 or more",514030,232955
Theft by Unlawful Taking/Disp - All others,514030,232990
Att Theft by Unlawful Taking/Disp - All others,514030,232991
Solc Theft by Unlawful Taking/Disp - All others,514030,32992
Cons Theft by Unlawful Taking/Disp - All others,514030,232993
Facl Theft by Unlawful Taking/Disp - All others,514030,232994
Comp Theft by Unlawful Taking/Disp - All others,514030,232995
Theft by Deception - Include Cold Checks U/$500,514040,2323000
Att Theft by Deception - Include Cold Checks U/$500,514040,233001
Solc Theft by Deception - Include Cold Checks U/$500,514040,233002
Cons Theft by Deception - Include Cold Checks U/$500,514040,233003
Facl Theft by Deception - Include Cold Checks U/$500,514040,233004
Comp Theft by Deception - Include Cold Checks U/$500,514040,233005
"Theft by Deception - Include Cold Checks U/$10,000",514040,233010
"Att Theft by Deception - Include Cold Checks U/$10,000",514040,233011
"Solc Theft by Deception - Include Cold Checks U/$10,000",514040,233012
"Cons Theft by Deception - Include Cold Checks U/$10,000",514040,233013
"Facl Theft by Deception - Include Cold Checks U/$10,000",514040,233014
"Comp Theft by Deception - Include Cold Checks U/$10,000",514040,233015
"Theft by Deception - Include Cold Checks $10,000 or more",514040,233020
"Att Theft by Deception - Include Cold Checks $10,000 or more",514040,233021
"Solc Theft by Deception - Include Cold Checks $10,000 or more",514040,233022
"Cons Theft by Deception - Include Cold Checks $10,000 or more",514040,233023
"Facl Theft by Deception - Include Cold Checks $10,000 or more",514040,233024
"Comp Theft by Deception - Include Cold Checks $10,000 or more",514040,233025
Theft of Identity of Another Without Consent ,514060,233100
Att Theft of Identity of Another Without Consent ,514060,233101
Solc Theft of Identity of Another Without Consent ,514060,233102
Cons Theft of Identity of Another Without Consent ,514060,233103
Facl Theft of Identity of Another Without Consent ,514060,233104
Comp Theft of Identity of Another Without Consent ,514060,233105
Theft of Retail Merchandise for Resale,506120,234300
Att Theft of Retail Merchandise for Resale,506120,234301
Solc Theft of Retail Merchandise for Resale,506120,234302
Cons Theft of Retail Merchandise for Resale,506120,234303
Facl Theft of Retail Merchandise for Resale,506120,234304
Comp Theft of Retail Merchandise for Resale,506120,234305
Theft by Unlawful Taking/Disp - Auto,514030,240400
Att Theft by Unlawful Taking/Disp - Auto,514030,240401
Solc Theft by Unlawful Taking/Disp - Auto,514030,240402
Cons Theft by Unlawful Taking/Disp - Auto,514030,240403
Facl Theft by Unlawful Taking/Disp - Auto,514030,240404
Comp Theft by Unlawful Taking/Disp - Auto,514030,240405
"TBUT - Auto $10,000 or more",514030,240450
"Att TBUT - Auto $10,000 or more",514030,240451
"Solc TBUT - Auto  $10,000 or more",514030,240452
"Cons TBUT - Auto $10,000 or more",514030,240453
"Facl TBUT - Auto $10,000 or more",514030,240454
"Comp TBUT - Auto $10,000 or more",514030,240455
Theft by Unlawful Taking/Disp - Auto,514030,240490
Att Theft by Unlawful Taking/Disp - Auto,514030,240491
Solc Theft by Unlawful Taking/Disp - Auto,514030,240492
Cons Theft by Unlawful Taking/Disp - Auto,514030,240493
Facl Theft by Unlawful Taking/Disp - Auto,514030,240494
Comp Theft by Unlawful Taking/Disp - Auto,514030,240495
Unauthorized Use of a Motor Vehicle,,
Unauthorized Use of a Motor Vehicle - 1st offense,514100,7010
Att Unauthorized Use of a Motor Vehicle - 1st offense,514100,7011
Solc Unauthorized Use of a Motor Vehicle - 1st offense,514100,7012
Cons Unauthorized Use of a Motor Vehicle - 1st offense,514100,7013
Facl Unauthorized Use of a Motor Vehicle - 1st offense,514100,7014
Comp Unauthorized Use of a Motor Vehicle - 1st offense,514100,7015
Unauthorized Use of a Motor Vehicle - 2nd offense or >,514100,7020
Att Unauthorized Use of a Motor Vehicle - 2nd offense or >,514100,7021
Solc Unauthorized Use of a Motor Vehicle - 2nd offense or >,514100,7022
Cons Unauthorized Use of a Motor Vehicle - 2nd offense or >,514100,7023
Facl Unauthorized Use of a Motor Vehicle - 2nd offense or >,514100,7024
Comp Unauthorized Use of a Motor Vehicle - 2nd offense or >,514100,7025
Wanton Endangerment,508060,
Wanton Endangerment - 1st Degree,508060,132010
Att Wanton Endangerment - 1st Degree,508060,132011
Solc Wanton Endangerment - 1st Degree,508060,132012
Cons Wanton Endangerment - 1st Degree,508060,132013
Facl Wanton Endangerment - 1st Degree,508060,132014
Comp Wanton Endangerment - 1st Degree,508060,132015
"Wanton Endangerment - 1st Degree, Police Officer ",508060,132210
"Att Wanton Endangerment - 1st Degree, Police Officer ",508060,132211
"Solc Wanton Endangerment - 1st Degree, Police Officer ",508060,132212
"Cons Wanton Endangerment - 1st Degree, Police Officer ",508060,132213
"Facl Wanton Endangerment - 1st Degree, Police Officer ",508060,132214
"Comp Wanton Endangerment - 1st Degree, Police Officer ",508060,132215
Wanton Endangerment - 2nd Degree,508070,4410
Att Wanton Endangerment - 2nd Degree,508070,4411
Solc Wanton Endangerment - 2nd Degree,508070,4412
Cons Wanton Endangerment - 2nd Degree,508070,4413
Facl Wanton Endangerment - 2nd Degree,508070,4414
Comp Wanton Endangerment - 2nd Degree,508070,4415
"Wanton Endangerment - 2nd Degree, Police Officer ",508070,4440
"Att Wanton Endangerment - 2nd Degree, Police Officer ",508070,4441
"Solc Wanton Endangerment - 2nd Degree, Police Officer ",508070,4442
"Cons Wanton Endangerment - 2nd Degree, Police Officer ",508070,4443
"Facl Wanton Endangerment - 2nd Degree, Police Officer ",508070,4444
"Comp Wanton Endangerment - 2nd Degree, Police Officer ",508070,4445
